Item,Name
0111,Wheat
23110,Wheat flour
23140.02,Bulgur
23140.03,Breakfast cereals
23220.01,Wheat starch
39120.01,Wheat bran
21111.01,Meat of cattle
21111.02,Meat of cattle boneless
21182,Bovine meat
21185,Extracts of meat
21512.01,Butcher fat
2165,Palm oil
21691.14,Oil of Palm
21700.02,Margarine
34120,Fatty acids
34550,Animal or vegetable fats
F1243,Fat preparations n.e.
F1275,Hydrogenated oils
