item,itemname,ENERGY,PROTEIN,feedClassification
486,Bananas,13,5.2,Potential Feed
489,Plantains,13.3,20.4,Potential Feed
490,Oranges,13.9,6.8,Potential Feed
515,Apples,13.8,6.7,Potential Feed
521,Pears,13.8,6.7,Potential Feed
526,Apricots,13.8,6.7,Potential Feed
530,Sour Cherry,13.8,6.7,Potential Feed
531,Cherries,13.8,6.7,Potential Feed
534,Peaches,13.8,6.7,Potential Feed
536,Plums,13.8,6.7,Potential Feed
563,Must Grapes,8,13.7,Potential Feed
566,Grape Marc,6.2,14,Potential Feed
567,Watermelons,13.8,6.7,Potential Feed
568,Melons,13.8,6.7,Potential Feed
569,Figs,7.9,11.9,Potential Feed
570,"Figs, Dried",7.9,11.9,Potential Feed
571,Mangoes,14.2,4.7,Potential Feed
572,Avocados,14.2,4.7,Potential Feed
577,Dates,14.2,4.7,Potential Feed
584,Mango Pulp,14.2,4.2,Potential Feed
603,Frt Trop nes,14.2,4.7,Potential Feed
619,Fruit nes,14.2,4.2,Potential Feed
623,Fruit Pr nes,14.2,4.7,Potential Feed
628,Fr Pulp Feed,14.2,4.2,Potential Feed
636,Maize Fd+Sil,14.3,10.5,Forage
637,Sorghum Fs,14.3,10.8,Forage
641,Alfalfa Fs,9.4,20.6,Forage
642,G Oilseed Fs,14.7,32.4,Forage
643,Legumin Fs,14.3,21.5,Forage
644,Cabbage Fod,13.8,6.7,Forage
646,Turnips Fod,13.8,6.7,Forage
647,Beets Fodder,13.8,6.7,Forage
648,Carrots Fod,12.2,11.7,Forage
649,Swedes Fod,13.8,6.7,Forage
651,Forage Prod,13.8,6.7,Forage
652,Veg Prod,13.8,6.7,Potential Feed
655,Veg Root Fod,13.8,6.7,Potential Feed
660,Coffee Husks,14.8,9.4,Potential Feed
663,Cocoa Husks,14.8,9.4,Potential Feed
677,Hops,9.8,24.1,Potential Feed
767,Cotton Lint,13.8,6.7,Potential Feed
840,Com Feed Cat,14.8,9.4,Forage
